match_id,season,match_date,venue,city,match_number,team_1,team_2,toss_winner,toss_decision,match_winner,player_of_match,win_type,win_margin,has_super_over
1426285,2024,2024-04-29,"Eden Gardens, Kolkata",Kolkata,47,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,CV Varun,wickets,7,0
1426286,2024,2024-04-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,48,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,MP Stoinis,wickets,4,0
1426287,2024,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,49,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,Harpreet Brar,wickets,7,0
1426288,2024,2024-05-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,50,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,B Kumar,run,1,0
1426289,2024,2024-05-03,"Wankhede Stadium, Mumbai",Mumbai,51,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,VR Iyer,run,24,0
1426290,2024,2024-05-04,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,52,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Mohammed Siraj,wickets,4,0
1426291,2024,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,53,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,RA Jadeja,run,28,0
1426292,2024,2024-05-05,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,54,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,SP Narine,run,98,0
1426293,2024,2024-05-06,"Wankhede Stadium, Mumbai",Mumbai,55,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SA Yadav,wickets,7,0
1426294,2024,2024-05-07,"Arun Jaitley Stadium, Delhi",Delhi,56,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,Kuldeep Yadav,run,20,0
1426295,2024,2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,57,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Sunrisers Hyderabad,TM Head,wickets,10,0
1426296,2024,2024-05-09,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,58,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,V Kohli,run,60,0
1426297,2024,2024-05-10,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,59,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans,Shubman Gill,run,35,0
1426298,2024,2024-05-11,"Eden Gardens, Kolkata",Kolkata,60,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,CV Varun,run,18,0
1426299,2024,2024-05-12,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,61,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,Simarjeet Singh,wickets,5,0
1426300,2024,2024-05-12,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,62,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,C Green,run,47,0
1426302,2024,2024-05-14,"Arun Jaitley Stadium, Delhi",Delhi,64,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,I Sharma,run,19,0
1426303,2024,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Guwahati,65,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Punjab Kings,SM Curran,wickets,5,0
1426305,2024,2024-05-17,"Wankhede Stadium, Mumbai",Mumbai,67,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,N Pooran,run,18,0
1426306,2024,2024-05-18,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,68,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,F du Plessis,run,27,0
1426307,2024,2024-05-19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,69,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,Abhishek Sharma,wickets,4,0
1473438,2025,2025-03-22,"Eden Gardens, Kolkata",Kolkata,1,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,KH Pandya,wickets,7,0
1473439,2025,2025-03-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Ishan Kishan,run,44,0
1473440,2025,2025-03-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,3,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Noor Ahmad,wickets,4,0
1473441,2025,2025-03-24,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,4,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Ashutosh Sharma,wickets,1,0
1473442,2025,2025-03-25,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,5,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,SS Iyer,run,11,0
1473443,2025,2025-03-26,"Barsapara Cricket Stadium, Guwahati",Guwahati,6,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Q de Kock,wickets,8,0
1473444,2025,2025-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,7,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,SN Thakur,wickets,5,0
1473445,2025,2025-03-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,8,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,RM Patidar,run,50,0
